common_name,lat,lng
California poppy,37.057229,-121.985161
coast redwood,37.0000250283,-122.0011568069
Slender Banana Slug,37.0000250283,-122.0011568069
coast redwood,37.0102119446,-122.0369873047
California yerba santa,37.0527265637,-122.1372413635
coast redwood,37.0478439331,-122.0666275024
coast redwood,37.0850143433,-122.1372909546
coast redwood,37.0850143433,-122.1372909546
coast redwood,37.0850143433,-122.1372909546
coast redwood,37.0850143433,-122.1372909546
coast redwood,37.0850143433,-122.1372909546
coast redwood,37.0850143433,-122.1372909546
coast redwood,37.0850143433,-122.1372909546
coast redwood,37.0393180847,-122.0626296997
coast redwood,37.0393638611,-122.0624465942
coast redwood,37.0392112732,-122.0619277954
coast redwood,37.0391731262,-122.0615081787
coast redwood,37.0387573242,-122.0614776611
coast redwood,37.0387229919,-122.0614776611
Slender Banana Slug,37.0388145447,-122.0611724854
coast redwood,37.0500450134,-122.0683670044
coast redwood,37.0387420654,-122.0615692139
coast redwood,37.0516151448,-122.0608520508
coast redwood,37.0518891478,-122.0590496063
California Newt,37.0222911077,-122.0114135742
Western Fence Lizard,37.0293079822,-122.1085739136
Slender Banana Slug,37.0824616601,-122.0601654053
California Newt,37.0870873,-122.0638586
California Newt,37.0869978688,-122.0610934496
coast redwood,37.0917108449,-122.0620171353
coast redwood,37.0118999402,-121.9297134876
coast redwood,37.0419148006,-122.0695209503
coast live oak,37.0870873,-122.0638586
California Newt,37.0870873,-122.0638586
coast redwood,36.9985123527,-122.0593995228
California poppy,37.0870873,-122.0638586
California yerba santa,37.0870873,-122.0638586
California yerba santa,37.050521,-122.1381571333
Slender Banana Slug,37.0870873,-122.0638586
Pacific poison oak,37.0870873,-122.0638586
coast live oak,37.00768,-121.996428
coast redwood,37.002137,-121.999737
California Newt,37.0870873,-122.0638586
California Newt,37.0870873,-122.0638586
California Newt,37.0870873,-122.0638586
California Newt,37.0870873,-122.0638586
California Newt,37.0870873,-122.0638586
California Newt,37.0870873,-122.0638586
coast redwood,37.0177588,-122.03689664
coast redwood,37.0245405,-122.0553349
Slender Banana Slug,37.0200982014,-122.0478057861
coast redwood,37.0629939994,-122.0927166939
Slender Banana Slug,37.00247529,-121.99914342
coast live oak,37.0199747329,-122.0798469435
Pacific poison oak,37.0224720625,-122.085172981
Pacific poison oak,37.0224720625,-122.085172981
Pacific poison oak,37.0226,-122.083648
California yerba santa,37.087087,-122.063859
coast redwood,37.050983429,-122.015296936
coast redwood,36.99796241,-121.89915811
coast redwood,37.0958709717,-121.9756088257
coast redwood,37.0895220765,-121.9946384311
Western Fence Lizard,37.034711,-121.932535
coast redwood,37.041468,-122.064865
Slender Banana Slug,37.01668661,-122.04510399
Slender Banana Slug,37.024227,-121.906338
coast redwood,37.0645,-122.0856666667
California poppy,37.093728,-122.065661
coast redwood,37.030731,-122.042787
Slender Banana Slug,37.0360916667,-122.0603416667
California Newt,37.068203,-122.053054
